Depmap ID,Expression Public 23Q4,Cell Line Name,Primary Disease,Lineage,Lineage Subtype
ACH-000001,5.691254978650136,NIHOVCAR3,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000002,2.553360503335328,HL60,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000003,2.4646682670034443,CACO2,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000004,5.788685710613533,HEL,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000005,5.454833906898869,HEL9217,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000006,5.965091624790789,MONOMAC6,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000007,5.973611275519472,LS513,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000008,4.524189078449365,A101D,Melanoma,Skin,Melanoma
ACH-000009,2.292781749227846,C2BBE1,Colorectal Adenocarcinoma,Bowel,Colorectal Adenocarcinoma
ACH-000011,5.455162801244506,253J,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000012,5.722466024471091,HCC827,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000013,6.114575251125544,ONCODG1,Ovarian Epithelial Tumor,Ovary/Fallopian Tube,Ovarian Epithelial Tumor
ACH-000014,5.894090170601479,HS294T,Melanoma,Skin,Melanoma
ACH-000015,2.570462931026041,NCIH1581,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000016,4.4809113460477485,SLR21,Renal Cell Carcinoma,Kidney,Renal Cell Carcinoma
ACH-000017,4.963011647599427,SKBR3,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000018,3.4892860226258766,T24,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000019,6.320484678017694,MCF7,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000020,6.949768359931346,MHHCALL2,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000021,4.15704371014558,NCIH1693,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000022,5.5505928897043,PATU8988S,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000023,6.592008461307306,PATU8988T,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000024,6.113742166049188,OPM2,Mature B-Cell Neoplasms,Lymphoid,Mature B-Cell Neoplasms
ACH-000025,3.264536430999025,CH157MN,Meningothelial Tumor,CNS/Brain,Meningothelial Tumor
ACH-000026,5.678635347822744,253JBV,Bladder Urothelial Carcinoma,Bladder/Urinary Tract,Bladder Urothelial Carcinoma
ACH-000027,6.04745114041639,GOS3,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000028,6.72137265947682,KPL1,Invasive Breast Carcinoma,Breast,Invasive Breast Carcinoma
ACH-000029,6.44774448211255,HCC827GR5,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000030,6.735386782895341,PC14,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000031,5.128458384146928,PANC0213,Pancreatic Adenocarcinoma,Pancreas,Pancreatic Adenocarcinoma
ACH-000032,7.083426139437464,MHHCALL3,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000033,2.6870606883398924,NCIH1819,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000034,1.8991756304805127,PLB985,Acute Myeloid Leukemia,Myeloid,Acute Myeloid Leukemia
ACH-000035,3.730096465595469,NCIH1650,Non-Small Cell Lung Cancer,Lung,Non-Small Cell Lung Cancer
ACH-000036,5.644721547217978,U343,Diffuse Glioma,CNS/Brain,Diffuse Glioma
ACH-000037,2.3673710656485296,S117,"Sarcoma, NOS",Soft Tissue,"Sarcoma, NOS"
ACH-000038,5.584661907941469,EHEB,B-Lymphoblastic Leukemia/Lymphoma,Lymphoid,B-Lymphoblastic Leukemia/Lymphoma
ACH-000039,6.451705665356302,SKNMC,Ewing Sarcoma,Bone,Ewing Sarcoma
