sample	samples	cancer type abbreviation	sample_type	ENSG00000175054.14	ENSG00000149554.12	ENSG00000108064.10
TCGA-WC-A87W-01	TCGA-WC-A87W-01	UVM	Primary Tumor	2.848	1.84	3.896
TCGA-WC-A87T-01	TCGA-WC-A87T-01	UVM	Primary Tumor	2.797	1.105	3.429
TCGA-WC-A87U-01	TCGA-WC-A87U-01	UVM	Primary Tumor	2.441	1.233	2.848
TCGA-WC-A881-01	TCGA-WC-A881-01	UVM	Primary Tumor	2.433	0.4657	2.011
TCGA-VD-A8K7-01	TCGA-VD-A8K7-01	UVM	Primary Tumor	2.311	1.177	3.645
TCGA-V4-A9EK-01	TCGA-V4-A9EK-01	UVM	Primary Tumor	2.29	1.357	3.692
TCGA-V4-A9F7-01	TCGA-V4-A9F7-01	UVM	Primary Tumor	2.272	0.7748	3.361
TCGA-V4-A9EL-01	TCGA-V4-A9EL-01	UVM	Primary Tumor	2.257	1.406	2.998
TCGA-V4-A9F3-01	TCGA-V4-A9F3-01	UVM	Primary Tumor	2.248	2.151	4.162
TCGA-V4-A9EV-01	TCGA-V4-A9EV-01	UVM	Primary Tumor	2.221	0.605	2.844
TCGA-V4-A9EE-01	TCGA-V4-A9EE-01	UVM	Primary Tumor	2.214	2.368	3.739
TCGA-V4-A9EH-01	TCGA-V4-A9EH-01	UVM	Primary Tumor	2.148	1.317	2.088
TCGA-WC-AA9E-01	TCGA-WC-AA9E-01	UVM	Primary Tumor	2.118	1.848	3.425
TCGA-VD-AA8T-01	TCGA-VD-AA8T-01	UVM	Primary Tumor	2.095	1.164	3.29
TCGA-VD-A8KJ-01	TCGA-VD-A8KJ-01	UVM	Primary Tumor	2.064	1.334	3.514
TCGA-VD-A8KO-01	TCGA-VD-A8KO-01	UVM	Primary Tumor	2.046	1.864	4.023
TCGA-YZ-A980-01	TCGA-YZ-A980-01	UVM	Primary Tumor	1.945	1.015	2.607
TCGA-V4-A9EU-01	TCGA-V4-A9EU-01	UVM	Primary Tumor	1.934	1.145	3.636
TCGA-VD-A8K9-01	TCGA-VD-A8K9-01	UVM	Primary Tumor	1.93	0.8488	3.724
TCGA-WC-A880-01	TCGA-WC-A880-01	UVM	Primary Tumor	1.876	-0.2498	2.973
TCGA-VD-A8KM-01	TCGA-VD-A8KM-01	UVM	Primary Tumor	1.852	0.8164	2.339
TCGA-V4-A9EI-01	TCGA-V4-A9EI-01	UVM	Primary Tumor	1.787	2.425	3.692
TCGA-WC-A87Y-01	TCGA-WC-A87Y-01	UVM	Primary Tumor	1.787	1.029	3.048
TCGA-V4-A9F1-01	TCGA-V4-A9F1-01	UVM	Primary Tumor	1.77	1.491	3.277
TCGA-VD-A8KF-01	TCGA-VD-A8KF-01	UVM	Primary Tumor	1.705	1.412	3.79
TCGA-WC-AA9A-01	TCGA-WC-AA9A-01	UVM	Primary Tumor	1.669	1.293	1.945
TCGA-YZ-A983-01	TCGA-YZ-A983-01	UVM	Primary Tumor	1.6	1.239	2.795
TCGA-WC-A888-01	TCGA-WC-A888-01	UVM	Primary Tumor	1.585	0.6425	1.732
TCGA-VD-AA8R-01	TCGA-VD-AA8R-01	UVM	Primary Tumor	1.546	0.3115	3.248
TCGA-VD-A8KD-01	TCGA-VD-A8KD-01	UVM	Primary Tumor	1.481	1.34	2.738
TCGA-WC-A883-01	TCGA-WC-A883-01	UVM	Primary Tumor	1.444	1.783	1.783
TCGA-V4-A9EX-01	TCGA-V4-A9EX-01	UVM	Primary Tumor	1.379	1.749	3.683
TCGA-RZ-AB0B-01	TCGA-RZ-AB0B-01	UVM	Primary Tumor	1.334	0.9115	3.31
TCGA-VD-A8KH-01	TCGA-VD-A8KH-01	UVM	Primary Tumor	1.322	1.328	2.86
TCGA-VD-A8K8-01	TCGA-VD-A8K8-01	UVM	Primary Tumor	1.317	1.585	3.009
TCGA-VD-A8KE-01	TCGA-VD-A8KE-01	UVM	Primary Tumor	1.183	0.4016	1.915
TCGA-WC-A884-01	TCGA-WC-A884-01	UVM	Primary Tumor	1.158	0.9038	2.248
TCGA-V4-A9F4-01	TCGA-V4-A9F4-01	UVM	Primary Tumor	1.078	1.057	3.438
TCGA-YZ-A982-01	TCGA-YZ-A982-01	UVM	Primary Tumor	1.057	1.804	1.852
TCGA-V4-A9F2-01	TCGA-V4-A9F2-01	UVM	Primary Tumor	1.036	1.085	1.132
TCGA-V3-A9ZX-01	TCGA-V3-A9ZX-01	UVM	Primary Tumor	1.001	2.115	3.28
TCGA-VD-A8KG-01	TCGA-VD-A8KG-01	UVM	Primary Tumor	0.9935	0.547	1.465
TCGA-V4-A9EJ-01	TCGA-V4-A9EJ-01	UVM	Primary Tumor	0.9115	1.164	2.266
TCGA-VD-AA8Q-01	TCGA-VD-AA8Q-01	UVM	Primary Tumor	0.8568	-0.1993	-0.3022
TCGA-V4-A9EO-01	TCGA-V4-A9EO-01	UVM	Primary Tumor	0.8246	1.556	3.373
TCGA-V4-A9F0-01	TCGA-V4-A9F0-01	UVM	Primary Tumor	0.8164	0.7748	1.888
TCGA-VD-A8KA-01	TCGA-VD-A8KA-01	UVM	Primary Tumor	0.7999	0.7579	2.759
TCGA-WC-A88A-01	TCGA-WC-A88A-01	UVM	Primary Tumor	0.7233	1.281	2.325
TCGA-VD-A8KN-01	TCGA-VD-A8KN-01	UVM	Primary Tumor	0.6517	1.252	2.791
TCGA-V4-A9EC-01	TCGA-V4-A9EC-01	UVM	Primary Tumor	0.6517	0.4865	1.171
TCGA-VD-A8KB-01	TCGA-VD-A8KB-01	UVM	Primary Tumor	0.605	0.8568	1.896
